feedback_id,text
1,"The pizza was amazing, but a bit too salty."
2,"The staff was friendly, but the wait was long."
3,"I loved the dessert, it was the highlight of the meal."
4,"The portion was too small for the price."
5,"The ambiance was great, perfect for a casual dinner."
6,"The pasta was bland and lacked flavor."
7,"The steak was cooked to perfection, very tender."
8,"I didn't enjoy the soup, it was too cold."
9,"The restaurant was clean and well-maintained."
10,"The drinks were overpriced, but the food was good."
11,"The service was quick, but the food was average."
12,"The salad was fresh and crispy."
13,"The burger was overcooked and dry."
14,"The appetizers were tasty but arrived late."
15,"The lighting was too dim for my liking."
16,"The waiter was attentive and knowledgeable."
17,"The sushi rolls were beautifully presented."
18,"The restaurant was too noisy for a relaxing meal."
19,"The fish was fresh and cooked perfectly."
20,"The dessert options were limited."
21,"The pizza crust was too thick for my taste."
22,"The wine selection was excellent."
23,"The bathroom was clean and well-stocked."
24,"The soup was flavorful and comforting."
25,"The chicken was undercooked and chewy."
