topic_id,keywords
0,"0.081*""free"" + 0.040*""security"" + 0.036*""wifi"" + 0.030*""duty"" + 0.029*""wife"" + 0.018*""check"" + 0.014*""food"" + 0.012*""checks"" + 0.011*""code"" + 0.010*""expensive"""
1,"0.055*""staff"" + 0.026*""bad"" + 0.026*""rude"" + 0.025*""worst"" + 0.024*""english"" + 0.019*""service"" + 0.018*""experience"" + 0.016*""ever"" + 0.016*""speak"" + 0.016*""people"""
2,"0.045*""expensive"" + 0.038*""food"" + 0.033*""prices"" + 0.025*""dirty"" + 0.025*""worst"" + 0.020*""ever"" + 0.020*""ive"" + 0.016*""toilets"" + 0.015*""euros"" + 0.013*""airports"""
3,"0.029*""istanbul"" + 0.025*""international"" + 0.017*""city"" + 0.011*""domestic"" + 0.011*""trabzon"" + 0.010*""face"" + 0.010*""available"" + 0.010*""flights"" + 0.009*""taxi"" + 0.008*""easy"""
4,"0.018*""time"" + 0.017*""hours"" + 0.016*""passport"" + 0.016*""people"" + 0.014*""hour"" + 0.014*""control"" + 0.012*""gate"" + 0.009*""long"" + 0.009*""even"" + 0.009*""line"""
5,"0.030*""water"" + 0.011*""need"" + 0.010*""dont"" + 0.010*""small"" + 0.010*""bottle"" + 0.010*""pay"" + 0.008*""prices"" + 0.008*""cant"" + 0.007*""buy"" + 0.007*""money"""
6,"0.012*""much"" + 0.011*""small"" + 0.010*""perfect"" + 0.010*""people"" + 0.009*""toilets"" + 0.009*""crowded"" + 0.008*""luggage"" + 0.008*""better"" + 0.008*""always"" + 0.007*""places"""
7,"0.035*""good"" + 0.034*""nice"" + 0.031*""small"" + 0.025*""crowded"" + 0.023*""long"" + 0.022*""clean"" + 0.019*""fast"" + 0.016*""control"" + 0.016*""security"" + 0.015*""passport"""
8,"0.010*""area"" + 0.008*""air"" + 0.007*""would"" + 0.006*""smoking"" + 0.006*""even"" + 0.006*""charging"" + 0.006*""found"" + 0.006*""lot"" + 0.006*""time"" + 0.006*""thing"""
9,"0.033*""great"" + 0.029*""best"" + 0.028*""clean"" + 0.026*""staff"" + 0.026*""beautiful"" + 0.025*""friendly"" + 0.024*""good"" + 0.022*""experience"" + 0.017*""well"" + 0.015*""amazing"""
