topic_id,keywords
0,"0.041*""cok"" + 0.037*""sabiha"" + 0.033*""gökçen"" + 0.022*""havalimani"" + 0.020*""icin"" + 0.013*""havaalani"" + 0.008*""hersey"" + 0.007*""iptal"" + 0.007*""degil"" + 0.006*""pahali"""
1,"0.042*""face"" + 0.025*""with"" + 0.019*""smiling"" + 0.015*""crying"" + 0.014*""guzel"" + 0.011*""faceloudly"" + 0.010*""süper"" + 0.010*""fena"" + 0.008*""dediler"" + 0.006*""çelebi"""
2,"0.013*""güvenlik"" + 0.011*""hizmet"" + 0.009*""kalabalık"" + 0.009*""pasaport"" + 0.009*""iyi"" + 0.008*""trabzona"" + 0.008*""personel"" + 0.008*""değil"" + 0.007*""olarak"" + 0.007*""yoğun"""
3,"0.054*""iyi"" + 0.028*""metro"" + 0.012*""giriş"" + 0.010*""çıkış"" + 0.008*""konumda"" + 0.008*""araç"" + 0.008*""çıkışı"" + 0.007*""karmaşık"" + 0.007*""numara"" + 0.007*""anadolu"""
4,"0.028*""yok"" + 0.015*""kötü"" + 0.015*""tuvaletler"" + 0.014*""kadar"" + 0.013*""yer"" + 0.013*""sigara"" + 0.012*""trabzon"" + 0.012*""pis"" + 0.009*""yetersiz"" + 0.008*""bekleme"""
5,"0.012*""yok"" + 0.010*""kadar"" + 0.007*""saat"" + 0.007*""the"" + 0.007*""dış"" + 0.006*""hatlar"" + 0.006*""uçağa"" + 0.005*""sonra"" + 0.005*""kötü"" + 0.005*""böyle"""
6,"0.011*""iyi"" + 0.010*""güler"" + 0.010*""yüzlü"" + 0.009*""değil"" + 0.009*""personel"" + 0.009*""olmuş"" + 0.008*""güzel"" + 0.008*""yeni"" + 0.007*""şehir"" + 0.007*""yeterli"""
7,"0.127*""güzel"" + 0.017*""yer"" + 0.009*""herşey"" + 0.008*""yasak"" + 0.007*""gayet"" + 0.007*""ayıp"" + 0.006*""bulabilirsiniz"" + 0.006*""şeyi"" + 0.005*""bence"" + 0.005*""mekan"""
8,"0.034*""güzel"" + 0.028*""temiz"" + 0.024*""büyük"" + 0.014*""rahat"" + 0.012*""küçük"" + 0.011*""gayet"" + 0.011*""ulaşım"" + 0.011*""düzenli"" + 0.011*""kolay"" + 0.011*""iyi"""
9,"0.043*""kolay"" + 0.031*""mükemmel"" + 0.023*""ulaşım"" + 0.020*""ulaşımı"" + 0.019*""rahat"" + 0.017*""pahalı"" + 0.015*""küçük"" + 0.012*""otopark"" + 0.009*""tek"" + 0.008*""şehrin"""
